,ID,START_DATE,END_DATE,TIMER_total,SYMBOL,EVALUATION_01,EVALUATION_02,EVALUATION_index,SATISFACTION,TRUST,OUTAGE_q01,OUTAGE_q02,OUTAGE_q03,OUTAGE_01,OUTAGE_02,OUTAGE_03,OUTAGE_long,AREA,CITY,CITY_short,GOV_EVALUATION,GOV_SATISFACTION,GOV_TRUST,GOV_ATTITUDES,INTEREST,GENDER,AGE,EDUCATION,INCOME,HOUSE,IDEOLOGY,IEC_ATTITUDES_first,IEC_ATTITUDES_second,IEC_ATTITUDES_third,IEC_ATTITUDES_fourth,MEKOROT_recognize,IROADS_recognize,EAPC_recognize,NTA_recognize,IEC_symbol_recognize,IEC_work,IEC_work_relative,IEC_work_01,IEC_debt,SYMBOL_not_recognize,TIMER_total_filter,IMC,MISSING,GUESS_filter
37,37,14/12/2015 14:29,14/12/2015 14:32,3,1,8,8,8,9,10,2,0,1,0,0,0,0,SHARON,HERZELIA,HZL,0.5,0.5,0.5,0.5,0.75,1,62,0.857142857,0.5,1,0.3,TRUST,SATISFACTION,EVALUATION_02,EVALUATION_01,1,0,0,0,0,0,0,0,0,0,0,1,0,0
38,38,14/12/2015 14:27,14/12/2015 14:32,5,1,4,8,6,9,8,3,3,3,1,1,0.833333333,1,SHARON,RAANANA,RNA,0.666666667,0.5,0.5,0.555555556,1,0,41,0.857142857,0.5,1,0.7,SATISFACTION,EVALUATION_01,EVALUATION_02,TRUST,1,1,0,0,0,0,0,0,0,0,0,1,0,0
39,39,14/12/2015 14:23,14/12/2015 14:33,10,2,4,5,4.5,6,6,3,4,3,1,1,1,1,SHARON,KFAR SABA,KFS,0.5,0.5,0.666666667,0.555555556,0.5,1,40,0.714285714,0.5,1,0.5,TRUST,SATISFACTION,EVALUATION_01,EVALUATION_02,0,1,0,0,1,0,0,0,0,0,0,0,0,0
40,40,14/12/2015 14:25,14/12/2015 14:33,8,2,6,5,5.5,6,6,2,1,3,1,0.5,0.5,0,SHARON,RAANANA,RNA,0.333333333,0.333333333,0.333333333,0.333333333,0,1,34,0.857142857,0.75,1,0.3,EVALUATION_01,EVALUATION_02,SATISFACTION,TRUST,1,1,0,0,1,0,0,0,0,0,0,0,0,0
41,41,14/12/2015 14:27,14/12/2015 14:33,6,0,2,2,2,1,2,3,5,3,1,1,1,1,SHARON,RAANANA,RNA,0.166666667,0.166666667,0.166666667,0.166666667,0,1,33,1,0.75,0,0.3,EVALUATION_01,SATISFACTION,TRUST,EVALUATION_02,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,42,14/12/2015 14:20,14/12/2015 14:33,13,2,2,2,2,2,2,3,3,3,1,1,0.833333333,1,OTHER,BEER SHEVA,OTHER,0.166666667,0.333333333,0.166666667,0.222222222,0.75,1,24,0.714285714,0,0,0.1,SATISFACTION,EVALUATION_01,EVALUATION_02,TRUST,0,1,0,0,1,0,0,0,0,0,0,0,0,0
43,43,14/12/2015 14:27,14/12/2015 14:33,6,1,7,7,7,5,7,3,3,2,1,1,0.666666667,1,SHARON,HOD HASHARON,HDS,0.5,0.5,0.833333333,0.611111111,0.75,0,32,1,0.75,1,0.5,EVALUATION_02,EVALUATION_01,TRUST,SATISFACTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,14/12/2015 14:28,14/12/2015 14:33,5,0,4,5,4.5,4,5,3,4,3,1,1,1,1,SHARON,HERZELIA,HZL,0,0.333333333,0,0.111111111,0.75,1,24,0.571428571,0.25,0,0.5,EVALUATION_01,SATISFACTION,TRUST,EVALUATION_02,1,1,0,0,0,0,0,0,0,0,0,1,0,0
45,45,14/12/2015 14:27,14/12/2015 14:33,6,1,8,10,9,9,10,3,1,2,1,0.5,0.5,0,SHARON,HOD HASHARON,HDS,0.666666667,0.166666667,0.166666667,0.333333333,0,1,18,0.428571429,0.75,0,0.2,EVALUATION_01,SATISFACTION,EVALUATION_02,TRUST,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,14/12/2015 14:25,14/12/2015 14:34,9,0,7,7,7,7,7,2,1,2,1,0.5,0.333333333,0,OTHER,OTHER,OTHER,0.5,0.5,0.333333333,0.444444444,0.75,1,19,0.428571429,1,0,0.2,EVALUATION_01,TRUST,SATISFACTION,EVALUATION_02,1,0,1,0,0,0,0,0,0,0,0,0,0,0
47,47,14/12/2015 14:30,14/12/2015 14:35,5,1,3,3,3,2,2,2,1,1,1,0.5,0.166666667,0,SHARON,RAMAT HASHARON,RSR,0,0,0,0,0.75,1,36,0.857142857,0.5,1,0.4,TRUST,EVALUATION_01,EVALUATION_02,SATISFACTION,0,1,0,0,0,0,0,0,0,0,0,1,0,0
48,48,14/12/2015 14:31,14/12/2015 14:35,4,0,3,3,3,3,3,2,3,1,1,1,0.333333333,1,SHARON,KFAR SABA,KFS,0.5,0.5,0.5,0.5,1,1,35,1,0.5,0,0.4,TRUST,EVALUATION_02,SATISFACTION,EVALUATION_01,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,49,14/12/2015 14:31,14/12/2015 14:35,4,2,8,8,8,8,9,3,1,3,1,0.5,0.666666667,0,SHARON,RAMAT HASHARON,RSR,0.666666667,0.666666667,0.666666667,0.666666667,0.75,0,36,0.285714286,0,0,0.3,EVALUATION_01,TRUST,EVALUATION_02,SATISFACTION,0,1,0,0,1,0,1,1,0,0,0,0,0,0
50,50,14/12/2015 14:28,14/12/2015 14:35,7,2,5,6,5.5,6,4,3,2,1,1,1,0.5,0,SHARON,HOD HASHARON,HDS,0.5,0.333333333,0.333333333,0.388888889,1,0,34,0.857142857,0,1,0.6,EVALUATION_01,EVALUATION_02,TRUST,SATISFACTION,0,1,0,0,1,0,0,0,1,0,0,0,0,0
51,51,14/12/2015 14:26,14/12/2015 14:36,10,2,2,3,2.5,3,3,3,3,3,1,1,0.833333333,1,SHARON,HOD HASHARON,HDS,0.333333333,0.166666667,0.166666667,0.222222222,0.75,1,46,0.285714286,0.5,1,0.5,SATISFACTION,EVALUATION_01,TRUST,EVALUATION_02,1,1,0,0,1,0,0,0,0,0,0,0,0,0
52,52,14/12/2015 14:29,14/12/2015 14:36,7,1,3,2,2.5,6,2,3,4,3,1,1,1,1,SHARON,RAMAT HASHARON,RSR,0.5,0.5,0.333333333,0.444444444,0.75,1,24,0.714285714,0.25,0,0.2,EVALUATION_01,SATISFACTION,TRUST,EVALUATION_02,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,53,14/12/2015 14:27,14/12/2015 14:37,10,2,3,5,4,6,6,3,2,3,1,1,0.833333333,0,SHARON,RAANANA,RNA,0.333333333,0.5,0.166666667,0.333333333,0,0,26,0.428571429,0.5,0,0.5,EVALUATION_01,SATISFACTION,EVALUATION_02,TRUST,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54,54,14/12/2015 14:31,14/12/2015 14:37,6,1,3,3,3,5,4,3,5,3,1,1,1,1,SHARON,KFAR SABA,KFS,0.166666667,0.333333333,0.166666667,0.222222222,0,0,42,1,1,1,0.4,EVALUATION_01,TRUST,SATISFACTION,EVALUATION_02,1,1,0,0,0,0,0,0,0,0,0,1,0,0
55,55,14/12/2015 14:24,14/12/2015 14:38,14,2,3,5,4,5,4,3,4,3,1,1,1,1,SHARON,HERZELIA,HZL,0.5,0.5,0.666666667,0.555555556,0.75,0,24,0.428571429,0.5,0,0.7,SATISFACTION,EVALUATION_02,EVALUATION_01,TRUST,0,1,0,0,1,0,0,0,0,0,0,0,0,0
56,56,14/12/2015 14:32,14/12/2015 14:38,6,0,1,2,1.5,2,1,3,3,2,1,1,0.666666667,1,SHARON,RAANANA,RNA,0.166666667,0.166666667,0.166666667,0.166666667,0,1,46,0.428571429,0.25,1,0.2,EVALUATION_02,TRUST,EVALUATION_01,SATISFACTION,1,1,1,0,0,0,0,0,0,0,0,0,0,0
57,57,14/12/2015 14:33,14/12/2015 14:38,5,1,5,5,5,5,4,2,2,1,1,1,0.333333333,0,SHARON,HOD HASHARON,HDS,0,0.166666667,0.333333333,0.166666667,1,1,24,0.857142857,1,0,0.3,EVALUATION_02,SATISFACTION,TRUST,EVALUATION_01,0,1,0,1,0,0,0,0,0,0,0,0,0,0
58,58,14/12/2015 14:32,14/12/2015 14:38,6,1,9,9,9,7,3,2,3,1,1,1,0.333333333,1,SHARON,RAANANA,RNA,0.166666667,0.333333333,0.166666667,0.222222222,1,0,27,1,0.75,0,0.7,TRUST,SATISFACTION,EVALUATION_01,EVALUATION_02,1,1,0,1,0,0,0,0,0,0,0,0,0,0
59,59,14/12/2015 14:32,14/12/2015 14:38,6,2,7,5,6,6,5,2,1,2,1,0.5,0.333333333,0,SHARON,RAMAT HASHARON,RSR,0,0.166666667,0.166666667,0.111111111,0.75,0,34,0.857142857,0.75,0,0.8,TRUST,EVALUATION_01,EVALUATION_02,SATISFACTION,0,1,0,0,1,0,0,0,0,0,0,0,0,0
